day(from_vernal_equinox),longitude(in_degrees),latitude(in_degrees)
1,292.68238202608086,27.962479505018983
2,292.68227868054885,27.962496108914785
3,292.6821746605889,27.96251197407801
4,292.6820699969872,27.96252709581126
5,292.68196472072066,27.962541469637223
6,292.68185886294776,27.962555091300032
7,292.68175245499907,27.962567956766513
8,292.681645528368,27.962580062227353
9,292.68153811470177,27.962591404098294
10,292.6814302457917,27.962601979021144
11,292.68132195356395,27.962611783864773
12,292.6812132700701,27.96262081572606
13,292.68110422747753,27.962629071930778
14,292.68099485806005,27.96263655003433
15,292.68088519418825,27.962643247822506
16,292.6807752683198,27.962649163312165
17,292.68066511299014,27.962654294751758
18,292.6805547608026,27.96265864062191
19,292.6804442444187,27.962662199635837
20,292.68033359654873,27.962664970739738
21,292.6802228499419,27.962666953113114
22,292.68011203737666,27.96266814616899
23,292.68000119165094,27.96266854955411
24,292.67989032206935,27.962668163149043
25,292.67977950844613,27.962666987068186
26,292.6796687600763,27.962665021659785
27,292.67955810973893,27.96266226750577
28,292.6794475901839,27.962658725421644
29,292.67933723412233,27.962654396456173
30,292.679227074217,27.962649281891164
31,292.6791171430727,27.962643383240973
32,292.67900747322625,27.962636702252155
33,292.67889809713716,27.962629240902906
34,292.67878904717804,27.962621001402454
35,292.6786803556248,27.96261198619045
36,292.6785720546473,27.96260219793621
37,292.6784641762996,27.962591639537926
38,292.6783567525107,27.96258031412184
39,292.678249815075,27.96256822504126
40,292.67814339564273,27.962555375875617
41,292.6780375257109,27.962541770429393
42,292.6779322366137,27.96252741273094
43,292.6778275595132,27.96251230703138
44,292.6777235253904,27.96249645780325
45,292.67762016503576,27.96247986973925
46,292.6775175090403,27.962462547750803
47,292.6774155877864,27.962444496966597
48,292.67731443143884,27.962425722731115
49,292.677214069936,27.962406230603
50,292.67711453298057,27.96238602635341
51,292.67701585003147,27.962365115964353
52,292.67691805029443,27.962343505626833
53,292.6768211627138,27.96232120173911
54,292.6767252159636,27.9622982109047
55,292.67663023843954,27.96227453993053
56,292.67653625825,27.9622501958248
57,292.6764433032083,27.962225185795
58,292.6763514008241,27.962199517245725
59,292.67626057829517,27.9621731977765
60,292.6761708624998,27.96214623517951
61,292.6760822799884,27.962118637437293
62,292.6759948569759,27.96209041272039
63,292.6759086193336,27.962061569384897
64,292.6758235925823,27.962032115970025
65,292.67573980188376,27.962002061195516
66,292.6756572720341,27.961971413959095
67,292.67557602745586,27.96194018333384
68,292.6754960921912,27.961908378565457
69,292.6754174898945,27.961876009069556
70,292.6753402438255,27.961843084428885
71,292.6752643768423,27.96180961439045
72,292.6751899113948,27.961775608862634
73,292.6751168695178,27.96174107791229
74,292.6750452728247,27.96170603176172
75,292.67497514250107,27.961670480785678
76,292.6749064992981,27.96163443550824
77,292.674839363527,27.961597906599785
78,292.67477375505246,27.96156090487371
79,292.67470969328707,27.961523441283326
80,292.6746471971855,27.96148552691855
81,292.6745862852389,27.961447173002654
82,292.67452697546935,27.96140839088893
83,292.6744692854248,27.96136919205732
84,292.67441323217344,27.961329588111003
85,292.67435883229916,27.96128959077299
86,292.67430610189615,27.96124921188262
87,292.67425505656456,27.96120846339208
88,292.67420571140565,27.961167357362818
89,292.6741580810173,27.961125905962042
90,292.6741121794899,27.961084121459045
91,292.674068020402,27.961042016221608
92,292.6740256168164,27.960999602712334
93,292.67398498127613,27.960956893484934
94,292.67394612580114,27.96091390118055
95,292.67390906188416,27.960870638523964
96,292.67387380048785,27.960827118319873
97,292.67384035204117,27.960783353449067
98,292.67380872643656,27.960739356864607
99,292.6737789330269,27.96069514158804
100,292.67375098062274,27.96065072070547
101,292.6737248774898,27.960606107363756
102,292.6737006313464,27.96056131476656
103,292.6736782493612,27.960516356170483
104,292.6736577381513,27.9604712448811
105,292.6736391037799,27.96042599424905
106,292.67362235175494,27.960380617666093
107,292.67360748702714,27.960335128561095
108,292.6735945139887,27.960289540396083
109,292.673583436472,27.9602438666623
110,292.6735742577483,27.960198120876143
111,292.6735669805273,27.960152316575197
112,292.6735616069557,27.960106467314215
113,292.6735581386168,27.960060586661154
114,292.6735565765303,27.960014688193056
115,292.6735569681578,27.95996878549435
116,292.6735592193782,27.959922892143958
117,292.67356337652484,27.9598770217245
118,292.6735694383608,27.95983118780946
119,292.67357740308563,27.959785403961376
120,292.67358726833567,27.959739683727854
121,292.67359903118506,27.959694040637515
122,292.67361268814636,27.95964848819602
123,292.6736282351717,27.95960303988208
124,292.67364566765406,27.95955770914345
125,292.6736649804284,27.959512509392944
126,292.6736861677734,27.959467454004514
127,292.6737092234132,27.959422556309228
128,292.67373414051906,27.95937782959139
129,292.67376091171155,27.95933328708455
130,292.6737895290627,27.959288941967667
131,292.6738199840983,27.959244807361113
132,292.6738522678005,27.959200896322898
